Name,Team,Position,Expert Rank
Evan Engram,DEN,TE,164.67
Brian Robinson,WAS,RB,164.83
Tua Tagovailoa,MIA,QB,165.83
Ollie Gordon II,MIA,RB,166.20
Theo Johnson,NYG,TE,166.40
Mason Taylor,NYJ,TE,166.50
Tory Horton,SEA,WR,167.25
Joe Flacco,CIN,QB,168.33
Aaron Rodgers,PIT,QB,169.80
Brashard Smith,KC,RB,171.20
Colston Loveland,CHI,TE,172.17
Ray Davis,BUF,RB,172.50
Bryce Young,CAR,QB,174.33
Isaiah Davis,NYJ,RB,174.40
Juwan Johnson,NO,TE,175.00
Jaylin Noel,HOU,WR,175.33
Emari Demercado,ARI,RB,175.50
Jeremy McNichols,WAS,RB,176.00
Alec Pierce,IND,WR,176.00
Tank Bigsby,PHI,RB,176.67
J.J. McCarthy,MIN,QB,179.00
Parker Washington,JAX,WR,180.00
Chris Rodriguez,WAS,RB,180.33
Kaleb Johnson,PIT,RB,180.40
Tyquan Thornton,KC,WR,181.25
Cade Otton,TB,TE,181.83
Emanuel Wilson,GB,RB,182.75
Darren Waller,MIA,TE,183.20
Marvin Mims,DEN,WR,183.33
Jaydon Blue,DAL,RB,184.00
Sterling Shepard,TB,WR,184.50
Darius Slayton,NYG,WR,185.75
Jerome Ford,CLE,RB,186.50
Xavier Legette,CAR,WR,187.33
Mac Jones,SF,QB,188.00
Tre Harris,LAC,WR,189.00
DJ Giddens,IND,RB,189.17
Taysom Hill,NO,TE,190.00
Roschon Johnson,CHI,RB,190.20
Geno Smith,LV,QB,190.50
Kyle Williams,NE,WR,190.50
Dalton Schultz,HOU,TE,191.00
Cameron Ward,TEN,QB,192.33
Dont'e Thornton Jr.,LV,WR,192.67
Jonnu Smith,MIA,TE,193.50
Isaiah Likely,BAL,TE,193.67
Luke Musgrave,GB,TE,194.00
Justice Hill,BAL,RB,194.20
Brenton Strange,JAX,TE,194.33
DeMario Douglas,NE,WR,194.80
Devin Neal,NO,RB,196.00
Sean Tucker,TB,RB,197.25
Isaiah Bond,DEN,WR,197.50
Jack Bech,LV,WR,199.33
Jaylen Wright,MIA,RB,200.00
Adam Thielen,CAR,WR,200.17
Joshua Palmer,BUF,WR,200.33
Pat Bryant,DEN,WR,204.20
Elijah Arroyo,SEA,TE,204.20
Tahj Brooks,CIN,RB,204.33
Terrance Ferguson,LAR,TE,207.50
Isaac TeSlaa,DET,WR,207.50
DeAndre Hopkins,BAL,WR,207.67
Dyami Brown,JAX,WR,208.33
Dillon Gabriel,CLE,QB,208.33
Isaac Guerendo,SF,RB,209.00
Malik Washington,MIA,WR,209.00
Chigoziem Okonkwo,TEN,TE,209.50
Jarquez Hunter,LAR,RB,210.00
Pat Freiermuth,PIT,TE,210.40
Spencer Rattler,NO,QB,211.20
Elijah Moore,BUF,WR,211.50
Joe Burrow,CIN,QB,211.83
Calvin Austin,PIT,WR,212.33
Braelon Allen,NYJ,RB,212.50
Keaton Mitchell,BAL,RB,213.25
Dameon Pierce,HOU,RB,214.00
MarShawn Lloyd,GB,RB,214.75
Andrei Iosivas,CIN,WR,216.33
Ja'Tavion Sanders,CAR,TE,216.50
Mike Gesicki,CIN,TE,216.60
Will Shipley,PHI,RB,216.80
Michael Mayer,LV,TE,217.00
Russell Wilson,NYG,QB,218.67
Cole Kmet,CHI,TE,220.75
Alexander Mattison,MIA,RB,221.00
Ray-Ray McCloud,ATL,WR,221.00
Noah Gray,KC,TE,221.50
Tyler Conklin,LAC,TE,222.00
Noah Fant,CIN,TE,223.33
Ben Sinnott,WAS,TE,223.67
Dontayvion Wicks,GB,WR,223.67
Anthony Richardson,IND,QB,224.00
Jordan James,SF,RB,224.33
Adonai Mitchell,IND,WR,225.67
Jalen McMillan,TB,WR,225.80
Tyler Shough,NO,QB,226.33
Shedeur Sanders,CLE,QB,226.50
Tyler Lockett,TEN,WR,227.00
Khalil Herbert,IND,RB,227.00
Elijah Mitchell,KC,RB,229.00
Raheem Mostert,LV,RB,229.00
Antonio Gibson,NE,RB,230.00
Kirk Cousins,ATL,QB,230.00
Audric Estime,DEN,RB,230.00
Demarcus Robinson,SF,WR,230.50
Marcus Mariota,WAS,QB,234.00
Savion Williams,GB,WR,234.00
Hunter Renfrow,CAR,WR,235.00
Jaleel McLaughlin,DEN,RB,235.50
Jake Browning,CIN,QB,236.00
Jordan Whittington,LAR,WR,236.00
Trevor Etienne,CAR,RB,237.00
Diontae Johnson,CLE,WR,237.00
Michael Wilson,ARI,WR,237.50
Jalen Royals,KC,WR,238.50
Tyler Higbee,LAR,TE,239.00
Jalen Tolbert,DAL,WR,239.67
Devin Singletary,NYG,RB,241.00
Ty Johnson,BUF,RB,241.67
Roman Wilson,PIT,WR,242.00
Noah Brown,WAS,WR,243.00
JuJu Smith-Schuster,KC,WR,246.00
Devaughn Vele,DEN,WR,246.00
Tutu Atwell,LAR,WR,248.00
Jalen Milroe,SEA,QB,255.00
Malik Willis,GB,QB,257.00
Kenny Pickett,CLE,QB,262.00
